"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,    "relrms[P]"   ,    "relrms[U]"   ,    "relrms[V]"   ,    "relrms[W]"   
           0,      -12.17356569,               -32,               -32,              -inf,                 0,                 0,                 0,               nan
           1,      -12.58661903,      -12.79238621,      -12.89573664,      -8.863955757,                 0,                 0,                 0,                 0
           2,       -10.5655646,      -11.98034454,      -11.98775003,       -9.83020058,                 0,                 0,                 0,     -0.9662448231
           3,      -10.65945794,      -12.32172377,      -12.31767235,      -10.12165772,    -0.09389334441,     -0.3413792368,     -0.3299223222,      -1.257701967
           4,      -10.81249305,       -12.2932953,      -12.29388472,      -10.33990306,     -0.2469284491,     -0.3129507634,     -0.3061346846,      -1.475947299
           5,      -10.81255121,      -12.36965446,      -12.37068655,      -10.41434997,     -0.2469866123,     -0.3893099267,     -0.3829365193,      -1.550394209
           6,      -10.84993652,      -12.39405876,       -12.3964908,        -10.540987,     -0.2843719228,     -0.4137142238,     -0.4087407689,      -1.677031241
           7,      -10.92423663,      -12.48222164,      -12.48649254,      -10.73424061,     -0.3586720352,     -0.5018770998,     -0.4987425141,      -1.870284853
           8,      -11.02029549,      -12.58517618,      -12.59063953,      -11.02577458,     -0.4547308941,     -0.6048316466,     -0.6028895001,      -2.161818824
           9,      -11.03398477,      -12.65446954,      -12.66031976,       -11.1162023,     -0.4684201744,     -0.6741250058,     -0.6725697271,      -2.252246545
          10,      -11.05714295,      -12.69439585,      -12.69985365,      -11.30564222,     -0.4915783492,     -0.7140513114,     -0.7121036214,      -2.441686459
          11,      -11.09506809,      -12.73371292,      -12.73874255,       -11.4931733,     -0.5295034892,     -0.7533683835,     -0.7509925154,      -2.629217544
          12,      -11.15907524,      -12.76301094,      -12.76685173,      -11.49516128,     -0.5935106432,     -0.7826664021,     -0.7791017021,       -2.63120552
          13,      -11.26879202,      -12.78907655,      -12.79151819,      -11.32349738,     -0.7032274199,     -0.8087320115,     -0.8037681614,      -2.459541627
          14,      -11.29496821,      -12.85728368,      -12.86001364,       -11.3420188,      -0.729403612,       -0.87693914,     -0.8722636111,      -2.478063039
          15,      -11.34153869,      -12.90635876,        -12.908978,      -11.37425796,     -0.7759740936,     -0.9260142211,     -0.9212279736,      -2.510302202
          16,      -11.42934238,      -12.98438802,      -12.98678975,      -11.39769468,     -0.8637777788,       -1.00404348,      -0.999039716,      -2.533738925
          17,      -11.58441902,      -13.04019255,      -13.04214691,      -11.39879822,      -1.018854421,      -1.059848016,      -1.054396881,      -2.534842462
          18,      -11.61704743,       -13.0878649,      -13.08990262,      -11.43116776,      -1.051482834,      -1.107520364,      -1.102152588,      -2.567212002
          19,      -11.67829428,      -13.10146859,      -13.10341672,      -11.49570961,      -1.112729683,      -1.121124049,      -1.115666687,       -2.63175385
          20,      -11.79046344,      -13.16261009,      -13.16462558,      -11.57396738,      -1.224898841,      -1.182265548,      -1.176875552,      -2.710011622
          21,       -11.9599702,      -13.23227775,      -13.23418954,      -11.64301738,      -1.394405598,      -1.251933212,      -1.246439514,      -2.779061624
          22,      -12.07744251,      -13.29686103,      -13.29893511,      -11.72197916,      -1.511877915,      -1.316516488,      -1.311185079,      -2.858023406
          23,      -12.14250484,      -13.34817127,      -13.35056852,      -11.81407851,      -1.576940237,      -1.367826733,      -1.362818485,      -2.950122752
          24,      -12.21598419,       -13.3950151,      -13.39781027,      -11.94717398,      -1.650419591,      -1.414670562,      -1.410060244,      -3.083218221
          25,      -12.24148494,      -13.37884284,       -13.3817794,      -12.02324388,      -1.675920342,      -1.398498302,       -1.39402937,      -3.159288119
          26,      -12.26689154,      -13.40531443,      -13.40860335,      -12.13813107,      -1.701326937,      -1.424969894,      -1.420853324,       -3.27417531
          27,      -12.30563636,      -13.47116132,      -13.47496117,      -12.17775056,      -1.740071765,      -1.490816781,       -1.48721114,      -3.313794806
          28,      -12.38135341,       -13.5227358,      -13.52700304,      -12.03103051,      -1.815788812,       -1.54239126,      -1.539253014,      -3.167074757
          29,      -12.39982336,      -13.52666281,      -13.53128402,      -12.07413903,      -1.834258763,      -1.546318277,      -1.543533994,      -3.210183271
          30,      -12.43194878,      -13.55806833,       -13.5631781,      -12.10923369,       -1.86638418,      -1.577723794,      -1.575428071,      -3.245277931
          31,      -12.48685491,       -13.6174862,      -13.62311659,      -12.11115601,      -1.921290314,      -1.637141663,      -1.635366562,      -3.247200251
          32,      -12.56102202,      -13.67121821,      -13.67728883,      -12.07805085,       -1.99545742,      -1.690873677,      -1.689538799,      -3.214095091
          33,      -12.58380141,      -13.67927317,      -13.68567709,      -12.11838303,      -2.018236816,      -1.698928631,      -1.697927055,      -3.254427273
          34,      -12.62879764,      -13.70647986,      -13.71328355,      -12.17898324,      -2.063233041,      -1.726135323,      -1.725533518,      -3.315027485
          35,      -12.69731742,       -13.7663088,      -13.77364061,      -12.23162699,      -2.131752824,      -1.785964262,      -1.785890581,      -3.367671237
