"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     
          0,           0,          76,      -9.830050101,      -9.629553441,      -9.828570184,      -9.246317504
          0,           0,          77,      -9.826089716,      -9.634662324,      -9.833262786,      -9.229133254
          0,           0,          78,      -9.823499571,      -9.639581123,      -9.837869923,      -9.219256914
          0,           0,          79,       -9.82121847,      -9.644700629,      -9.842717731,      -9.212708127
          0,           0,          80,      -9.817896917,      -9.650327594,      -9.847999252,      -9.205925164
          0,           0,          81,      -9.812290874,      -9.656658548,      -9.853896864,      -9.196659889
          0,           0,          82,      -9.803531181,      -9.663840919,      -9.860560762,      -9.183085732
          0,           0,          83,      -9.807355742,      -9.674293605,      -9.867009851,       -9.18075643
          0,           0,          84,      -9.842703539,      -9.676284644,      -9.872237258,       -9.28983901
          0,           0,          85,      -9.822292898,      -9.721262084,       -9.89961128,       -9.15435647
          0,           0,          86,      -9.847358843,      -9.724570114,      -9.907296278,      -9.227558359
          0,           0,          87,      -9.841356773,      -9.734398096,      -9.913761635,        -9.2048478
          0,           0,          88,      -9.841811039,      -9.736190314,      -9.916688434,      -9.226542915
          0,           0,          89,      -9.830488641,      -9.751367591,      -9.925647701,      -9.193609238
          0,           0,          90,      -9.833145999,      -9.751063957,      -9.928540405,      -9.223730301
          0,           0,          91,       -9.81493594,      -9.798116057,      -9.951083137,      -9.162946167
          0,           0,          92,      -9.830311888,      -9.798406828,      -9.958727994,      -9.180213023
          0,           0,          93,      -9.809545708,      -9.867992586,      -9.985518974,      -9.182587517
          0,           0,          94,      -9.797374042,      -9.873645529,      -9.988136744,      -9.150530296
          0,           0,          95,      -9.775124765,      -9.891516736,      -9.990481912,      -9.141493836
          0,           0,          96,      -9.761741528,      -9.896837404,      -9.987990948,      -9.124289454
          0,           0,          97,      -9.766095454,       -9.89328966,      -9.991643716,      -9.111822203
          0,           0,          98,      -9.760062812,       -9.90208783,      -9.992925037,      -9.102076685
          0,           0,          99,      -9.754871559,      -9.903058635,      -9.991613071,      -9.093026427
          0,           0,         100,      -9.750845014,      -9.903786257,      -9.990287688,      -9.086788859
          0,           0,         101,       -9.74697084,      -9.905548337,       -9.98898072,       -9.08147504
          0,           0,         102,      -9.743111502,      -9.907171933,      -9.987422125,      -9.076290423
          0,           0,         103,      -9.739278247,      -9.908484301,      -9.985606648,      -9.071136302
          0,           0,         104,      -9.735547896,      -9.909336055,      -9.983550426,      -9.066167519
          0,           0,         105,      -9.732010174,      -9.909731477,      -9.981309072,      -9.061585581
          0,           0,         106,      -9.728723963,       -9.90974184,      -9.978941544,      -9.057541077
          0,           0,         107,      -9.725707615,      -9.909455464,      -9.976494976,       -9.05410674
          0,           0,         108,       -9.72294762,      -9.908949138,      -9.974001152,      -9.051284008
          0,           0,         109,      -9.720412641,      -9.908279797,      -9.971479145,      -9.049025731
          0,           0,         110,      -9.718066948,      -9.907483563,       -9.96893921,       -9.04726454
          0,           0,         111,      -9.715878744,      -9.906582404,      -9.966386861,       -9.04593376
          0,           0,         112,      -9.713870439,      -9.905571633,      -9.963805531,      -9.044988716
          0,           0,         113,      -9.712253034,      -9.904249746,      -9.961109569,      -9.044781228
          0,           0,         114,      -9.711449224,      -9.902349917,      -9.958282218,      -9.046682029
          0,           0,         115,      -9.711880419,        -9.9003578,       -9.95558422,      -9.051779253
          0,           0,         116,      -9.713317623,      -9.898430218,      -9.953019475,      -9.059734677
          0,           0,         117,      -9.715701818,      -9.896591078,       -9.95054904,      -9.070763388
          0,           0,         118,      -9.718721544,      -9.895004278,      -9.948252506,      -9.084075021
          0,           0,         119,      -9.722052293,      -9.893763505,      -9.946164567,      -9.098601097
          0,           0,         120,      -9.725401045,        -9.8928725,      -9.944282257,      -9.113162339
          0,           0,         121,      -9.728541882,      -9.892277156,      -9.942575041,      -9.126788434
          0,           0,         122,      -9.731313935,      -9.891903003,      -9.941002702,      -9.138861784
          0,           0,         123,      -9.733602656,      -9.891685488,      -9.939532509,      -9.148977959
          0,           0,         124,      -9.735329029,      -9.891573363,      -9.938137167,      -9.156886292
          0,           0,         125,       -9.73644086,      -9.891524401,       -9.93679161,      -9.162489405
          0,           0,         126,      -9.736909173,      -9.891501109,      -9.935471074,      -9.165830041
          0,           0,         127,      -9.736729147,      -9.891468044,      -9.934149984,      -9.167070945
          0,           0,         128,      -9.735923698,      -9.891390434,      -9.932802047,      -9.166468876
          0,           0,         129,      -9.734545275,      -9.891235192,      -9.931402179,      -9.164374615
          0,           0,         130,       -9.73267403,      -9.890972084,        -9.9299279,      -9.160575028
