"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,    "relrms[P]"   ,    "relrms[U]"   ,    "relrms[V]"   ,    "relrms[W]"   
           0,      -11.73258867,               -32,               -32,              -inf,                 0,                 0,                 0,               nan
           1,      -10.84224014,      -9.958518998,      -9.958952697,      -8.863955449,                 0,                 0,                 0,                 0
           2,      -10.90402206,      -11.44787818,      -11.45112983,      -10.35114525,    -0.06178192002,       -1.48935918,      -1.492177132,      -1.487189802
           3,      -11.00892717,      -11.81554968,       -11.8183735,      -10.90625111,     -0.1666870332,      -1.857030684,      -1.859420801,      -2.042295665
           4,      -11.19775495,      -12.10380317,      -12.10787781,      -11.15368367,     -0.3555148117,      -2.145284173,      -2.148925111,      -2.289728221
           5,      -11.24314209,      -12.16384548,      -12.16924027,      -11.26297537,     -0.4009019464,      -2.205326483,      -2.210287576,       -2.39901992
           6,      -11.30860333,       -12.2579637,      -12.26459773,      -11.41748672,     -0.4663631902,      -2.299444699,      -2.305645036,      -2.553531268
           7,      -11.39186047,      -12.41473366,      -12.42088105,      -11.59265903,      -0.549620327,       -2.45621466,      -2.461928354,      -2.728703579
           8,      -11.49536885,      -12.63597708,      -12.63835964,      -11.72120865,     -0.6531287064,      -2.677458081,      -2.679406944,      -2.857253201
           9,      -11.52056608,      -12.67379036,      -12.67617663,      -11.82126111,     -0.6783259358,      -2.715271367,      -2.717223933,      -2.957305662
          10,       -11.5547971,      -12.72674622,      -12.72837735,       -11.9462583,     -0.7125569587,       -2.76822722,      -2.769424649,      -3.082302847
          11,      -11.60595575,      -12.81245937,      -12.81247001,       -12.0474294,     -0.7637156073,      -2.853940373,      -2.853517311,      -3.183473948
          12,      -11.68737091,      -12.94001412,      -12.93838521,       -12.0598001,      -0.845130765,      -2.981495117,      -2.979432508,      -3.195844655
          13,      -11.82202874,      -13.07314991,      -13.07193134,      -11.94476779,     -0.9797885952,      -3.114630916,      -3.112978639,      -3.080812342
          14,       -11.8606957,      -13.11159498,      -13.11047274,      -12.03024623,      -1.018455558,      -3.153075983,      -3.151520047,      -3.166290778
          15,      -11.91357608,      -13.16496323,      -13.16426424,      -12.13311788,      -1.071335934,      -3.206444228,      -3.205311546,      -3.269162436
          16,      -11.99338308,      -13.24589295,      -13.24570444,      -12.20608286,      -1.151142943,      -3.287373955,      -3.286751741,      -3.342127411
          17,      -12.11388652,       -13.3451567,      -13.34511328,      -12.21046231,      -1.271646374,      -3.386637704,      -3.386160579,      -3.346506865
          18,      -12.14450758,      -13.38067046,      -13.38034243,      -12.31268698,      -1.302267443,      -3.422151464,      -3.421389734,       -3.44873153
          19,      -12.18576855,      -13.43051002,      -13.42980062,      -12.43160911,      -1.343528408,      -3.471991018,      -3.470847923,      -3.567653661
          20,      -12.24676423,      -13.50449009,       -13.5032865,       -12.5258702,      -1.404524091,      -3.545971091,      -3.544333802,      -3.661914751
          21,      -12.33378761,      -13.60160287,      -13.60039579,      -12.52838586,      -1.491547467,      -3.643083874,      -3.641443097,      -3.664430408
          22,      -12.41212881,       -13.6903599,      -13.68949458,      -12.55291012,      -1.569888668,      -3.731840906,      -3.730541886,      -3.688954668
          23,      -12.48021697,      -13.77432767,      -13.77389831,      -12.60749199,      -1.637976831,      -3.815808672,      -3.814945616,      -3.743536539
          24,      -12.56354845,      -13.85002066,      -13.85008884,      -12.62346664,      -1.721308313,      -3.891501658,      -3.891136148,      -3.759511193
          25,      -12.58784724,      -13.90020679,      -13.90016786,      -12.75269351,      -1.745607096,      -3.941687796,      -3.941215161,      -3.888738062
          26,      -12.61599093,      -13.96003895,      -13.96013497,      -12.90404094,      -1.773750784,      -4.001519954,       -4.00118227,      -4.040085488
          27,      -12.65243536,      -14.03324014,      -14.03348376,      -13.01261307,      -1.810195215,      -4.074721147,      -4.074531066,       -4.14865762
          28,      -12.70439457,      -14.09777732,      -14.09820265,      -13.02489619,      -1.862154429,      -4.139258321,      -4.139249956,      -4.160940743
          29,      -12.71691242,       -14.1307901,      -14.13099738,      -13.14233088,       -1.87467228,      -4.172271105,      -4.172044685,      -4.278375436
          30,      -12.73358738,       -14.1714246,      -14.17137736,      -13.27224113,       -1.89134724,      -4.212905599,      -4.212424661,      -4.408285682
          31,      -12.75795059,      -14.22181158,      -14.22149709,      -13.35022774,      -1.915710452,      -4.263292581,      -4.262544394,      -4.486272287
          32,      -12.79678857,      -14.26689843,      -14.26702731,      -13.31325048,      -1.954548432,      -4.308379428,      -4.308074613,      -4.449295031
          33,      -12.80468308,      -14.28612814,      -14.28606595,      -13.40737534,      -1.962442935,      -4.327609138,      -4.327113257,      -4.543419889
          34,      -12.81645391,      -14.30979352,      -14.30955447,      -13.51080696,      -1.974213772,      -4.351274525,      -4.350601774,      -4.646851513
          35,       -12.8350169,      -14.34153478,      -14.34106272,      -13.56236216,      -1.992776762,      -4.383015784,      -4.382110025,      -4.698406707
          36,      -12.86600395,      -14.37420755,      -14.37416457,      -13.50105031,      -2.023763809,      -4.415688551,      -4.415211876,      -4.637094862
          37,       -12.9182618,      -14.37724544,      -14.37810872,      -13.35445895,      -2.076021654,      -4.418726443,      -4.419156022,      -4.490503504
          38,      -12.93263886,       -14.4143944,      -14.41480008,      -13.44891619,      -2.090398715,      -4.455875399,      -4.455847378,      -4.584960743
          39,      -12.95143343,      -14.44880499,      -14.44873665,      -13.54733749,      -2.109193292,      -4.490285993,      -4.489783951,      -4.683382042
          40,      -12.97887744,      -14.48570675,      -14.48569251,      -13.57960164,      -2.136637294,      -4.527187752,      -4.526739812,      -4.715646195
          41,      -13.02419415,       -14.5020571,       -14.5026531,      -13.49833892,      -2.181954011,      -4.543538104,      -4.543700402,      -4.634383468
          42,       -13.0346434,      -14.52914362,      -14.52939738,      -13.59270374,      -2.192403256,       -4.57062462,      -4.570444679,      -4.728748289
          43,      -13.04955073,      -14.55670746,      -14.55664796,      -13.69502599,      -2.207310584,      -4.598188461,      -4.597695264,      -4.831070536
          44,      -13.07232863,      -14.58848483,      -14.58824768,      -13.73449669,      -2.230088492,      -4.629965835,      -4.629294979,      -4.870541243
          45,      -13.11033148,      -14.61072461,      -14.61102671,      -13.65778492,      -2.268091343,      -4.652205608,      -4.652074011,      -4.793829467
          46,      -13.11809786,      -14.62873194,      -14.62882362,      -13.74272817,      -2.275857719,      -4.670212939,      -4.669870919,      -4.878772717
          47,      -13.12984431,       -14.6486294,       -14.6485488,      -13.83655104,      -2.287604168,        -4.6901104,      -4.689596107,      -4.972595589
          48,      -13.14848205,      -14.67391889,      -14.67355511,       -13.8751317,      -2.306241909,      -4.715399891,      -4.714602408,      -5.011176255
          49,      -13.17991566,      -14.69792818,       -14.6979537,      -13.80185596,      -2.337675523,      -4.739409179,      -4.739001003,      -4.937900513
          50,      -13.21283587,      -14.72136737,      -14.72150202,      -13.75962167,      -2.370595727,      -4.762848377,      -4.762549319,      -4.895666219
          51,      -13.24666168,      -14.74843635,      -14.74855758,      -13.74977265,      -2.404421543,      -4.789917355,      -4.789604885,      -4.885817205
          52,      -13.28092637,      -14.77760908,       -14.7777042,      -13.76136863,      -2.438686229,       -4.81909008,      -4.818751502,      -4.897413182
          53,      -13.31543602,      -14.80824661,       -14.8083299,      -13.78526111,      -2.473195877,      -4.849727614,      -4.849377204,      -4.921305659
          54,      -13.35010537,      -14.84014321,      -14.84022354,      -13.81557737,      -2.507865229,      -4.881624208,      -4.881270843,      -4.951621926
          55,      -13.38488103,      -14.87306126,      -14.87314042,      -13.84898151,      -2.542640884,      -4.914542263,      -4.914187728,      -4.985026065
          56,      -13.41972626,      -14.90670901,      -14.90678654,      -13.88372909,      -2.577486122,      -4.948190009,      -4.947833838,      -5.019773643
          57,      -13.45461671,      -14.94083145,      -14.94090712,      -13.91896187,      -2.612376573,      -4.982312454,      -4.981954424,      -5.055006419
          58,      -13.48953592,      -14.97525183,       -14.9753259,      -13.95428638,      -2.647295777,      -5.016732837,      -5.016373205,      -5.090330931
          59,      -13.52447263,       -15.0098599,      -15.00993276,      -13.98954648,      -2.682232485,      -5.051340905,      -5.050980065,      -5.125591035
          60,      -13.55941964,      -15.04458662,      -15.04465859,      -14.02470013,      -2.717179494,      -5.086067621,      -5.085705893,      -5.160744676
          61,      -13.59437287,      -15.07938688,       -15.0794582,      -14.05975202,      -2.752132731,      -5.120867881,      -5.120505502,      -5.195796566
