"Density","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2886,0,0,0,1004.7,0,1.716e-05,-6.7171e-07,-nan(ind),-nan(ind),1e+38,-nan(ind),0.023945,-5.7496e-22,5.7393e-25,-2.6306e-17,0.17075,,0,0,0.001,0.005
1.2886,0,0,0,1004.7,0,1.716e-05,-6.7172e-07,-nan(ind),-nan(ind),1e+38,-nan(ind),0.023945,3.0749e-09,-3.0694e-12,0.00014069,0.16751,,1e-06,0,0.001001,0.005
1.2886,0,0,0,1004.7,0,1.716e-05,-6.7172e-07,-nan(ind),-nan(ind),1e+38,-nan(ind),0.023945,6.1499e-09,-6.1389e-12,0.00028138,0.16426,,2e-06,0,0.001002,0.005
1.2886,0,0,0,1004.7,0,1.716e-05,-6.7173e-07,-nan(ind),-nan(ind),1e+38,-nan(ind),0.023945,9.2248e-09,-9.2083e-12,0.00042206,0.16102,,3e-06,0,0.001003,0.005
1.2886,0,0,0,1004.7,0,1.716e-05,-6.7174e-07,-nan(ind),-nan(ind),1e+38,-nan(ind),0.023945,1.23e-08,-1.2278e-11,0.00056275,0.15777,,4e-06,0,0.001004,0.005
1.2886,0,0,0,1004.7,0,1.716e-05,-6.7174e-07,-nan(ind),-nan(ind),1e+38,-nan(ind),0.023945,1.5375e-08,-1.5347e-11,0.00070344,0.15453,,5e-06,0,0.001005,0.005
1.2886,0,0,0,1004.7,0,1.716e-05,-6.7175e-07,-nan(ind),-nan(ind),1e+38,-nan(ind),0.023945,1.845e-08,-1.8417e-11,0.00084413,0.15128,,6e-06,0,0.001006,0.005
1.2886,0,0,0,1004.7,0,1.716e-05,-6.7176e-07,-nan(ind),-nan(ind),1e+38,-nan(ind),0.023945,2.1525e-08,-2.1486e-11,0.00098481,0.14804,,7.0001e-06,0,0.001007,0.005
1.2886,0,0,0,1004.7,0,1.716e-05,-6.7176e-07,-nan(ind),-nan(ind),1e+38,-nan(ind),0.023945,2.4599e-08,-2.4555e-11,0.0011255,0.1448,,7.9999e-06,0,0.001008,0.005
1.2886,0,0,0,1004.7,0,1.716e-05,-6.7177e-07,-nan(ind),-nan(ind),1e+38,-nan(ind),0.023945,2.7674e-08,-2.7625e-11,0.0012662,0.14155,,9e-06,0,0.001009,0.005
