"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,    "relrms[P]"   ,    "relrms[U]"   ,    "relrms[V]"   ,    "relrms[W]"   
           0,      -11.73258867,               -32,               -32,              -inf,                 0,                 0,                 0,               nan
           1,      -12.05279903,      -9.958518998,      -9.958952697,      -8.863955449,                 0,                 0,                 0,                 0
           2,      -10.56322612,      -11.44053258,      -11.44373672,      -9.829998203,                 0,      -1.482013584,      -1.484784027,     -0.9660427538
           3,      -10.64035667,      -11.81984656,      -11.82255912,      -10.12455719,    -0.07713054896,      -1.861327561,      -1.863606421,      -1.260601737
           4,      -10.80322577,      -12.01682546,      -12.02100227,      -10.35204648,     -0.2399996459,      -2.058306461,      -2.062049568,       -1.48809103
           5,      -10.80694914,      -12.06079163,        -12.065271,      -10.42876607,     -0.2437230174,      -2.102272636,      -2.106318304,      -1.564810619
           6,      -10.84762357,        -12.104664,      -12.10884475,      -10.56056681,     -0.2843974522,      -2.146145002,      -2.149892055,      -1.696611357
           7,      -10.92458245,      -12.18111146,      -12.18386908,      -10.76279856,     -0.3613563284,      -2.222592466,       -2.22491638,      -1.898843115
           8,      -11.02258608,      -12.27018711,      -12.27122188,      -11.07205854,     -0.4593599599,      -2.311668109,       -2.31226918,       -2.20810309
           9,      -11.03740597,      -12.31107934,      -12.31198296,      -11.16361762,     -0.4741798504,      -2.352560341,      -2.353030259,       -2.29966217
          10,      -11.06174669,      -12.35256245,      -12.35316486,       -11.3649547,     -0.4985205725,      -2.394043453,      -2.394212168,      -2.500999254
          11,      -11.10076822,      -12.40560659,      -12.40585006,      -11.50396512,     -0.5375421023,      -2.447087589,      -2.446897361,      -2.640009675
          12,      -11.16531922,       -12.4732225,      -12.47334736,      -11.49116833,     -0.6020931021,      -2.514703503,      -2.514394664,      -2.627212877
          13,      -11.27551937,      -12.55739167,      -12.55758883,      -11.30384049,     -0.7122932462,      -2.598872668,      -2.598636136,      -2.439885041
          14,      -11.30151791,       -12.6019568,      -12.60215587,      -11.32288288,     -0.7382917911,      -2.643437799,      -2.643203174,      -2.458927429
          15,      -11.34835585,      -12.64982829,      -12.65030084,      -11.37344026,      -0.785129733,      -2.691309292,       -2.69134814,      -2.509484816
          16,      -11.43666665,      -12.72597516,      -12.72674516,      -11.42014886,     -0.8734405326,       -2.76745616,      -2.767792459,      -2.556193412
          17,      -11.59324966,      -12.81959009,      -12.82095017,      -11.42329513,      -1.030023536,      -2.861071093,       -2.86199747,      -2.559339677
          18,      -11.62564335,      -12.84190608,      -12.84335999,      -11.45326821,      -1.062417225,      -2.883387087,      -2.884407291,      -2.589312757
          19,      -11.68641563,      -12.85822882,      -12.85979169,      -11.51907047,      -1.123189509,      -2.899709825,      -2.900838993,      -2.655115023
          20,       -11.7972741,      -12.90010289,      -12.90192815,      -11.60216129,      -1.234047975,      -2.941583888,       -2.94297545,      -2.738205845
          21,      -11.96224915,        -12.957396,      -12.95942674,      -11.67918775,      -1.399023033,      -2.998876999,       -3.00047404,      -2.815232302
          22,      -11.99511188,      -12.95887795,      -12.96101032,      -11.71824604,      -1.431885762,      -3.000358954,      -3.002057626,       -2.85429059
          23,      -12.04366885,       -12.9605255,      -12.96272326,      -11.79375353,      -1.480442733,      -3.002006507,      -3.003770562,      -2.929798086
          24,      -12.10404756,      -12.98293981,      -12.98513114,      -11.89630562,      -1.540821441,      -3.024420811,      -3.026178444,      -3.032350173
          25,      -12.14578931,      -13.02408908,      -13.02610888,      -12.01116462,       -1.58256319,       -3.06557008,      -3.067156184,      -3.147209169
          26,      -12.17988426,      -13.07069901,      -13.07268693,      -12.17693546,      -1.616658136,      -3.112180017,       -3.11373423,      -3.312980011
